管理番号,品名,メーカ,分類,ステータス,仕入れ先,コンディション,保管場所,仕入れ日,数量（ストック量または取引数量）,コメント,仕入れ価格,仕入れ価格/税区分,販売価格,販売価格/税区分,担当,用途,ログ日時
ZC000266,中古　テスト/test,G-CORPORATION,ドア,再撮影,abc,新品-常時在庫管理あり,府内13-3店舗裏,2020-11-03,3,ああああ,0.02,内,0.02,外,demo,新規登録,"2020-10-25 02:34:00"
ZC000265,中古　テスト/test,FIRESTONE,アフターパーツ,廃棄処分,abc,中古-常時在庫管理無し,ラビットガレージ,2020-10-24,2,,0,無,0,無,demo,在庫管理修正処理,"2020-10-25 02:33:00"
ZC000265,中古　テスト/test,FIRESTONE,アフターパーツ,廃棄処分,abc,中古-常時在庫管理無し,ラビットガレージ,2020-10-24,3,,0,無,0,無,demo,在庫管理修正処理,"2020-10-25 02:32:00"
ZC000265,中古　テスト/test,FIRESTONE,アフターパーツ,廃棄処分,abc,中古-常時在庫管理無し,ラビットガレージ,2020-10-24,2,,0,無,0,無,demo,新規登録,"2020-10-25 02:11:00"
ZC000262,テスト/test,LEXUS,タッチペン,修理入庫車部品,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-24,2,,0,無,0,無,demo,新規登録,"2020-10-25 02:06:00"
ZC000263,中古　テスト/test,FIRESTONE,ETC,お客注文部品,abc,新品-常時在庫管理あり,いい,2020-10-01,4,あああ,0.03,内,0.04,内,demo,在庫管理修正処理,"2020-10-25 01:47:00"
ZC000262,中古　テスト/test,ATLASBX,111111,テスト用,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,8,4552251478,0.05,内,0.04,外,demo,在庫管理データ削除処理,"2020-10-25 01:19:00"
ZC000263,中古　テスト/test,FIRESTONE,ETC,お客注文部品,abc,新品-常時在庫管理あり,いい,2020-10-01,4,あああ,0.03,内,0.04,内,demo,在庫管理修正処理,"2020-10-25 01:17:00"
ZC000263,中古　テスト/test,FIRESTONE,ETC,お客注文部品,あああ,新品-常時在庫管理あり,いい,2020-10-01,4,あああ,0.03,内,0.04,内,demo,在庫管理修正処理,"2020-10-25 01:10:00"
ZC000263,中古　テスト/test,FIRESTONE,ETC,お客注文部品,あああ,新品-常時在庫管理あり,いい,2020-10-01,1,あああ,0.03,内,0.04,内,demo,出荷処理,"2020-10-25 00:58:00"
ZC000263,中古　テスト/test,FIRESTONE,ETC,お客注文部品,あああ,新品-常時在庫管理あり,いい,2020-10-01,1,あああ,0.03,内,0.04,内,demo,入荷処理,"2020-10-25 00:54:00"
ZC000263,中古　テスト/test,FIRESTONE,ETC,お客注文部品,あああ,新品-常時在庫管理あり,いい,2020-10-01,1,あああ,0.03,内,0.04,内,demo,出荷処理,"2020-10-25 00:29:00"
ZC000263,中古　テスト/test,FIRESTONE,ETC,お客注文部品,あああ,新品-常時在庫管理あり,いい,2020-10-01,1,あああ,0.03,内,0.04,内,demo,入荷処理,"2020-10-25 00:28:00"
ZC000263,中古　テスト/test,FIRESTONE,ETC,お客注文部品,あああ,新品-常時在庫管理あり,いい,2020-10-01,3,あああ,0.03,内,0.04,内,demo,在庫管理修正処理,"2020-10-25 00:15:00"
ZC000266,中古　テスト/test,GSYUASA,ああああ,aaaa,あああ,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-24,1,あああ,0,無,0,無,demo,出荷処理,"2020-10-24 23:36:00"
ZC000266,中古　テスト/test,GSYUASA,ああああ,aaaa,あああ,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-24,2,あああ,0,無,0,無,demo,ログから登録処理,"2020-10-24 23:18:00"
ZC000265,中古　テスト/test,GSYUASA,ああああ,aaaa,あああ,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-24,4,ああああ,0.06,内,0.06,外,demo,在庫管理修正処理,"2020-10-24 22:46:00"
ZC000265,中古　テスト/test,GSYUASA,ああああ,aaaa,あああ,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-24,2,,0,無,0,無,demo,新規登録,"2020-10-24 21:42:00"
ZC000263,中古　テスト/test,FIRESTONE,あああ,お客注文部品,あああ,新品-常時在庫管理あり,いい,2020-10-01,3,あああ,0.03,内,0.04,内,demo,新規登録,"2020-10-24 21:38:00"
ZC000262,中古　テスト/test,ATLASBX,111111,テスト用,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,1,4552251478,0.05,内,0.04,外,demo,入荷処理,"2020-10-11 02:41:00"
ZC000262,中古　テスト/test,ATLASBX,111111,出荷,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,1,4552251478,0.05,内,0.04,外,demo,入荷処理,"2020-10-11 02:40:00"
ZC000262,中古　テスト/test,ATLASBX,111111,再撮影,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,1,4552251478,0.05,内,0.04,外,demo,入荷処理,"2020-10-11 02:38:00"
ZC000262,中古　テスト/test,ATLASBX,111111,移動,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,1,4552251478,0.05,内,0.04,外,demo,入荷処理,"2020-10-11 02:37:00"
ZC000262,中古　テスト/test,ATLASBX,111111,廃棄処分,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,4,4552251478,0.05,内,0.04,外,demo,在庫管理修正処理,"2020-10-11 01:52:00"
15645468,中古　テスト/test,ATLASBX,エアロ　純正,11119999,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,1,455225777852,0.05,内,0.04,外,demo,入荷処理,"2020-10-11 01:50:00"
15645468,中古　テスト/test,ATLASBX,エアロ　純正,11119999,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,1,455225777852,0.05,内,0.04,外,demo,入荷処理,"2020-10-11 01:49:00"
ZC000264,中古　テスト/test,ATLAS,ETC,委託商品,,新品-常時在庫管理あり,ラビット事務所,2020-10-10,1,,0,無,0,無,demo,出荷処理,"2020-10-11 01:43:00"
ZC000262,中古　テスト/test,ATLASBX,エアロ　純正,廃棄処分,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,4,455225,0.05,内,0.04,外,demo,ログから登録処理,"2020-10-11 01:41:00"
15645468,中古　テスト/test,ATLASBX,エアロ　純正,廃棄処分,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,4,455225,0.05,内,0.04,外,demo,ログから登録処理,"2020-10-11 01:41:00"
ZC000265,654,ATLAS,ガラス,aaabcd,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,3,,0,無,0,無,demo,在庫管理データ削除処理,"2020-10-11 01:40:00"
ZC000266,中古　テスト/test,ATLASBX,エアロ　純正,廃棄処分,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,4,455225,0.05,内,0.04,外,demo,在庫管理データ削除処理,"2020-10-11 01:40:00"
ZC000266,中古　テスト/test,ATLASBX,エアロ　純正,廃棄処分,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,0,455225,0.05,内,0.04,外,demo,在庫管理データ削除処理,"2020-10-11 01:39:00"
ZC000263,中古　テスト/test,?タクティー,アフターパーツ,aaabcd,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,あああああ,0.05,内,0.05,外,demo,在庫管理データ削除処理,"2020-10-11 01:39:00"
ZC000262,中古　テスト/test,CR2025,オイルエレメント,テスト用,,新品-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,,0,無,0,無,demo,出荷処理,"2020-10-11 01:39:00"
ZC000266,中古　テスト/test,ATLASBX,エアロ　純正,廃棄処分,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,6,455225,0.05,内,0.04,外,demo,出荷処理,"2020-10-11 01:39:00"
ZC000266,中古　テスト/test,ATLASBX,エアロ　純正,廃棄処分,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,2,455225,0.05,内,0.04,外,demo,入荷処理,"2020-10-11 01:39:00"
ZC000268,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 01:38:00"
ZC000269,654,ATLAS,ガラス,修理入庫車部品,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,1,"あああああ 1111",0.07,内,0.06,外,demo,出荷処理,"2020-10-11 01:26:00"
ZC000269,654,ATLAS,ガラス,修理入庫車部品,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,1,"あああああ 1111",0.07,内,0.06,外,demo,出荷処理,"2020-10-11 01:26:00"
ZC000269,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,0,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 01:25:00"
ZC000269,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,1,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 01:23:00"
ZC000269,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,0,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 01:23:00"
ZC000269,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,1,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 01:22:00"
ZC000269,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,5,あああああ,0.07,内,0.06,外,demo,ログから登録処理,"2020-10-11 01:16:00"
ZC000268,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,1,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 01:07:00"
ZC000268,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,1,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 01:02:00"
ZC000268,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,0,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 00:58:00"
ZC000268,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,1,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 00:57:00"
ZC000268,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,1,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 00:43:00"
ZC000268,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,0,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 00:31:00"
ZC000268,654,ATLAS,ガラス,移動,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,0,あああああ,0.07,内,0.06,外,demo,出荷処理,"2020-10-11 00:24:00"
ZC000268,654,ATLAS,ガラス,aaabcd,1111,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,6,あああああ,0.07,内,0.06,外,demo,ログから登録処理,"2020-10-10 23:59:00"
ZC000267,中古　テスト/test,ATLAS,エアロ　純正,廃棄処分,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,4,455225,0.05,内,0.04,外,demo,ログから登録処理,"2020-10-10 23:58:00"
ZC000266,中古　テスト/test,ATLASBX,エアロ　純正,廃棄処分,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,4,455225,0.05,内,0.04,外,demo,ログから登録処理,"2020-10-10 20:01:00"
ZC000266,中古　テスト/test,ATLASBX,エアロ　純正,廃棄処分,abcde,新品-常時在庫管理あり,ラビットガレージ,2020-10-06,4,455225,0.05,内,0.04,外,demo,新規登録,"2020-10-10 19:52:00"
ZC000265,654,ATLAS,ガラス,aaabcd,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,3,,0,無,0,無,demo,在庫管理修正処理,"2020-10-10 18:47:00"
ZC000265,654,ATLAS,ガラス,aaabcd,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,3,,0,無,0,無,demo,在庫管理修正処理,"2020-10-10 18:47:00"
ZC000263,中古　テスト/test,?タクティー,アフターパーツ,aaabcd,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,あああああ,0.05,内,0.05,外,demo,在庫管理修正処理,"2020-10-10 18:46:00"
ZC000265,654,ATLAS,ガラス,aaabcd,,新品-常時在庫管理無し,府内13-3店舗裏,2020-10-10,3,,0,無,0,無,demo,新規登録,"2020-10-10 18:23:00"
ZC000264,中古　テスト/test,ATLAS,ETC,出荷,,新品-常時在庫管理あり,ラビット事務所,2020-10-10,3,,0,無,0,無,demo,新規登録,"2020-10-10 18:23:00"
ZC000263,中古　テスト/test,?タクティー,アフターパーツ,aaabcd,abcd,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,あああああ,0.05,内,0.05,外,demo,在庫管理修正処理,"2020-10-10 18:21:00"
ZC000263,中古　テスト/test,?タクティー,アフターパーツ,aaa,abcd,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,あああああ,0.05,内,0.05,外,demo,在庫管理修正処理,"2020-10-10 18:21:00"
ZC000263,中古　テスト/test,?タクティー,アフターパーツ,aaa,abcd,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,あああああ,0.05,内,0.05,外,demo,在庫管理修正処理,"2020-10-10 18:16:00"
ZC000263,中古　テスト/test,?タクティー,アフターパーツ,aaa,abcd,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,あああああ,0.05,内,0.05,外,demo,在庫管理修正処理,"2020-10-10 18:09:00"
ZC000263,中古　テスト/test,?タクティー,アフターパーツ,お客注文部品,abcd,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,あああああ,0.05,内,0.05,外,demo,在庫管理修正処理,"2020-10-10 18:01:00"
ZC000263,中古　テスト/test,?タクティー,アフターパーツ,お客注文部品,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,あああああ,0.05,内,0.05,外,demo,在庫管理修正処理,"2020-10-10 18:00:00"
ZC000263,中古　テスト/test,?タクティー,アフターパーツ,お客注文部品,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,,0,無,0,無,demo,在庫管理修正処理,"2020-10-10 18:00:00"
ZC000264,中古　テスト/test,?タクティー,アフターパーツ,出荷待ち,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,1,,0,無,0,無,demo,出荷処理,"2020-10-10 16:52:00"
ZC000264,中古　テスト/test,?タクティー,アフターパーツ,お客注文部品,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,0,,0,無,0,無,demo,在庫管理修正処理,"2020-10-10 16:52:00"
ZC000264,中古　テスト/test,?タクティー,アフターパーツ,お客注文部品,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,0,,0,無,0,無,demo,在庫管理修正処理,"2020-10-10 15:53:00"
ZC000264,中古　テスト/test,?タクティー,アフターパーツ,お客注文部品,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,0,,0,無,0,無,demo,ログから登録処理,"2020-10-10 15:46:00"
ZC000263,中古　テスト/test,?タクティー,アフターパーツ,お客注文部品,,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,,0,無,0,無,demo,新規登録,"2020-10-10 15:44:00"
ZC000262,中古　テスト/test,CR2025,オイルエレメント,テスト用,,新品-常時在庫管理無し,府内13-3店舗裏,2020-10-10,2,,0,無,0,無,demo,新規登録,"2020-10-10 15:43:00"
ZC000261,中古　テスト/test,ATLASBX,オイルエレメント,再撮影,,新品-常時在庫管理あり,ラビットコンテナ,2020-10-10,2,,0,無,0,無,demo,新規登録,"2020-10-10 15:41:00"
ZC000262,中古　テスト/test,11111,アフターパーツ,内容変更,abcd,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-01,2,,0,無,0,無,demo,在庫管理データ削除処理,"2020-10-09 01:12:00"
ZC000261,中古　テスト/test,?タクティー,ETC,移動,1111,新品-常時在庫管理あり,ラビットガレージ,2020-10-22,2,,0.05,無,0,無,demo,在庫管理データ削除処理,"2020-10-09 01:12:00"
ZC000262,中古　テスト/test,11111,アフターパーツ,内容変更,abcd,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-01,2,,0,無,0,無,demo,在庫管理修正処理,"2020-10-09 01:11:00"
ZC000262,中古　テスト/test,11111,アフターパーツ,内容変更,abcd,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-01,2,,0,無,0,無,demo,在庫管理修正処理,"2020-10-09 01:05:00"
ZC000262,中古　テスト/test,11111,アフターパーツ,内容変更,abcd,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-01,2,,0,無,0,無,demo,在庫管理修正処理,"2020-10-09 01:04:00"
ZC000262,中古　テスト/test,11111,アフターパーツ,内容変更,abcd,中古-常時在庫管理無し,府内13-3店舗裏,2020-10-01,2,,0,無,0,無,demo,新規登録,"2020-10-09 01:04:00"
ZC000261,中古　テスト/test,?タクティー,ETC,移動,1111,新品-常時在庫管理あり,ラビットガレージ,2020-10-22,2,,0.05,無,0,無,mtanaka,在庫管理修正処理,"2020-10-09 00:58:00"
ZC000261,中古　テスト/test,?タクティー,ETC,移動,1111,新品-常時在庫管理あり,ラビットガレージ,2020-10-22,2,,0.05,無,0,無,demo,在庫管理修正処理,"2020-10-09 00:54:00"
ZC000261,中古　テスト/test,?タクティー,ETC,移動,1111,新品-常時在庫管理あり,ラビットガレージ,2020-10-22,2,,0,無,0,無,demo,在庫管理修正処理,"2020-10-09 00:52:00"
ZC000261,中古　テスト/test,?タクティー,ETC,移動,1111,新品-常時在庫管理あり,ラビットガレージ,2020-10-22,2,,0,無,0,無,demo,新規登録,"2020-10-09 00:51:00"
ZC000260,654,ATR,オイルエレメント,移動,abcd,新品-常時在庫管理あり,府内13-3外屋根下,2020-10-02,2,"ああああああああ
あああああああああああああ
あああああああああああ
あああああああああああ
あああああああああああああ
ああああああああああ",0.02,内,0,外,demo,在庫管理修正処理,"2020-10-09 00:45:00"
ZC000260,654,ATR,オイルエレメント,移動,abcd,新品-常時在庫管理あり,府内13-3外屋根下,2020-10-02,1,"ああああああああ
あああああああああああああ
あああああああああああ
あああああああああああ
あああああああああああああ
ああああああああああ",0.02,内,0,外,demo,入荷処理,"2020-10-09 00:45:00"
ZC000260,654,ATR,オイルエレメント,移動,abcd,新品-常時在庫管理あり,府内13-3外屋根下,2020-10-02,1,"ああああああああ
あああああああああああああ
あああああああああああ
あああああああああああ
あああああああああああああ
ああああああああああ",0.02,内,0,外,demo,在庫管理修正処理,"2020-10-09 00:45:00"
ZC000260,654,ATR,オイルエレメント,移動,abcd,新品-常時在庫管理あり,府内13-3外屋根下,2020-10-02,1,"ああああああああ
あああああああああああああ
あああああああああああ
あああああああああああ
あああああああああああああ
ああああああああああ",0.02,内,0.02,外,demo,入荷処理,"2020-10-09 00:38:00"
ZC000260,654,ATR,オイルエレメント,移動,abcd,新品-常時在庫管理あり,府内13-3外屋根下,2020-10-02,0,"ああああああああ
あああああああああああああ
あああああああああああ
あああああああああああ
あああああああああああああ
ああああああああああ",0.02,内,0.02,外,demo,在庫管理修正処理,"2020-10-09 00:31:00"
ZC000260,654,ATR,オイルエレメント,移動,abcd,新品-常時在庫管理あり,府内13-3外屋根下,2020-10-02,0,ああああ,0.02,内,0.02,外,demo,入荷処理,"2020-10-09 00:29:00"
ZC000260,654,ATR,オイルエレメント,移動,abcd,新品-常時在庫管理あり,府内13-3外屋根下,2020-10-02,0,ああああ,0.02,内,0.02,外,demo,在庫管理修正処理,"2020-10-09 00:29:00"
